game,date,final_score,period,clock,call_code,call_name,official_name,official_position,accuracy,comments
Oklahoma (13) @ LSU (7),31-Jan-25,Oklahoma 100 - LSU 107,4,5:00:00,SF,Push Spurlock,Pualani Spurlock,T,CC,
Oklahoma (13) @ LSU (7),31-Jan-25,Oklahoma 100 - LSU 107,4,4:53:00,PCC,Pushoff Spurlock,Pualani Spurlock,L,CI,Defender embellishes incidental contact
Oklahoma (13) @ LSU (7),31-Jan-25,Oklahoma 100 - LSU 107,4,4:27:00,OB,Out of Bounds,Pualani Spurlock,C,CC,
Oklahoma (13) @ LSU (7),31-Jan-25,Oklahoma 100 - LSU 107,4,4:05:00,IC,Incidental Contact,Teresa Stuck,L,NCC,
Oklahoma (13) @ LSU (7),31-Jan-25,Oklahoma 100 - LSU 107,4,4:01:00,SF,Hit,Pualani Spurlock,L,CC,
Oklahoma (13) @ LSU (7),31-Jan-25,Oklahoma 100 - LSU 107,4,3:22:00,FOM,Hold,Teresa Stuck,L,CC,
Oklahoma (13) @ LSU (7),31-Jan-25,Oklahoma 100 - LSU 107,4,2:43:00,SF,Push,Pualani Spurlock,C,CC,
Oklahoma (13) @ LSU (7),31-Jan-25,Oklahoma 100 - LSU 107,4,1:55:00,IC,Incidental Contact,Brian Garland,T,NCC,
Oklahoma (13) @ LSU (7),31-Jan-25,Oklahoma 100 - LSU 107,4,1:52:00,OB,Out of Bounds,Teresa Stuck,L,CC,
Oklahoma (13) @ LSU (7),31-Jan-25,Oklahoma 100 - LSU 107,4,1:38:00,IC,Incidental Contact,Brian Garland,L,NCC,
Oklahoma (13) @ LSU (7),31-Jan-25,Oklahoma 100 - LSU 107,4,1:37:00,OB,Out of Bounds,Brian Garland,L,CC,Close call 
Oklahoma (13) @ LSU (7),31-Jan-25,Oklahoma 100 - LSU 107,4,1:35:00,SF,Block,Teresa Stuck,T,CC,
Oklahoma (13) @ LSU (7),31-Jan-25,Oklahoma 100 - LSU 107,4,00:25.7,IC,Incidental Contact,Brian Garland,L,CC,
Oklahoma (13) @ LSU (7),31-Jan-25,Oklahoma 100 - LSU 107,4,0.009375,TM,Timing,Pualani Spurlock,C,CC,RR- Call Confirmed Game Clock 12.9
Oklahoma (13) @ LSU (7),31-Jan-25,Oklahoma 100 - LSU 107,4,0:05:20,BHD,Hold,Pualani Spurlock,T,CC,
